Symbol,Name,Market Cap
EXR,Extra Space Storage,10.257874
XOM,ExxonMobil,1.400655
FFIV,"F5, Inc.",6.1238756
FDS,FactSet,8.189447
FICO,Fair Isaac,26.663383
FAST,Fastenal,5.6135554
FRT,Federal Realty Investment Trust,7.8462167
FDX,FedEx,0.72831917
FIS,Fidelity National Information Services,4.372416
FITB,Fifth Third Bancorp,3.6811647
FSLR,First Solar,4.6572933
FE,FirstEnergy,1.7302116
FI,Fiserv,6.108203
FMC,FMC Corporation,1.67071
F,Ford Motor Company,0.21921957
FTNT,Fortinet,13.53922
FTV,Fortive,4.5547137
FOXA,Fox Corporation (Class A),1.5867691
FOX,Fox Corporation (Class B),1.5893286
BEN,Franklin Resources,1.3745438
FCX,Freeport-McMoRan,2.0533912
GRMN,Garmin,6.958148
IT,Gartner,6.8211174
GE,GE Aerospace,3.1245418
GEHC,GE HealthCare,2.062574
GEV,GE Vernova,2.9860516
GEN,Gen Digital,4.449519
GNRC,Generac,2.1540296
GD,General Dynamics,1.5087571
GIS,General Mills,1.6742437
GM,General Motors,0.26955387
GPC,Genuine Parts Company,0.6936203
GILD,Gilead Sciences,4.2806263
GPN,Global Payments,2.8650084
GL,Globe Life,1.7894174
GDDY,GoDaddy,6.6901054
GS,Goldman Sachs,4.05891
HAL,Halliburton,0.99070877
HIG,Hartford (The),1.2397387
HAS,Hasbro,1.8665534
HCA,HCA Healthcare,1.2002875
DOC,Healthpeak Properties,5.6533074
HSIC,Henry Schein,0.79473877
HSY,Hershey Company (The),2.7526376
HES,Hess Corporation,3.437186
HPE,Hewlett Packard Enterprise,0.9604357
HLT,Hilton Worldwide,13.296006
HOLX,Hologic,4.0835733
HD,Home Depot (The),2.6633863
HON,Honeywell,3.8492603
HRL,Hormel Foods,1.3738172
HST,Host Hotels & Resorts,2.117982
HWM,Howmet Aerospace,7.0735235
HPQ,HP Inc.,0.5716029
HUBB,Hubbell Incorporated,4.025383
HUM,Humana,0.3070004
HBAN,Huntington Bancshares,3.737311
HII,Huntington Ingalls Industries,0.6592625
IBM,IBM,3.8160467
IEX,IDEX Corporation,5.3166056
IDXX,Idexx Laboratories,8.988579
ITW,Illinois Tool Works,4.798417
INCY,Incyte,3.505254
IR,Ingersoll Rand,5.293139
PODD,Insulet Corporation,9.842689
INTC,Intel,1.5509042
ICE,Intercontinental Exchange,10.021919
IFF,International Flavors & Fragrances,1.9505382
IP,International Paper,1.0368192
IPG,Interpublic Group of Companies (The),1.1436042
INTU,Intuit,10.339139
ISRG,Intuitive Surgical,25.892239
IVZ,Invesco,1.4633013
INVH,Invitation Homes,7.470035
IQV,IQVIA,2.3863428
IRM,Iron Mountain,4.9773626
JBHT,J.B. Hunt,1.4060966
SJM,J.M. Smucker Company (The),1.3384329
JBL,Jabil,0.6159187
JKHY,Jack Henry & Associates,5.657281
J,Jacobs Solutions,1.0253645
JNJ,Johnson & Johnson,4.196929
JCI,Johnson Controls,2.2434142
JPM,JPMorgan Chase,4.6118264
JNPR,Juniper Networks,2.292625
K,Kellanova,2.2011225
KVUE,Kenvue,2.6404338
KDP,Keurig Dr Pepper,2.8744419
KEY,KeyCorp,4.101419
KEYS,Keysight Technologies,6.163895
KMB,Kimberly-Clark,2.1454751
KIM,Kimco Realty,7.708316
KMI,Kinder Morgan,4.029481
KKR,KKR,5.542496
KLAC,KLA Corporation,9.627435
KHC,Kraft Heinz,1.3808509
KR,Kroger,0.29695392
LHX,L3Harris,1.901973
LH,LabCorp,1.6434692
LRCX,Lam Research,6.6797514
LW,Lamb Weston,1.324252
LVS,Las Vegas Sands,2.9361086
LDOS,Leidos,1.1643109
LEN,Lennar,0.95074534
LLY,Lilly (Eli),17.850178
LIN,Linde plc,6.432206
LYV,Live Nation Entertainment,1.4309411
LKQ,LKQ Corporation,0.67038447
LMT,Lockheed Martin,1.5284655
